Cruise,Year,Month,Day,Local time (GMT+7),Area,Station,Lat,Lon,Sample_ID,Total Depth (m),Sampling level,Sampling depth (m),Sample_Type2,D50,OC %,N %,Sed_Temp (°C),Sed_pH,Sed_ORP (mV),Wind speed (m/s),Wind direction (toward-azimuth) angle,Wind direction,Air temperature (๐C),Air pressure (mbar),Sea state,Sea state remark,Cloud cover,Transparency (m),Water temperature_meter (_deg_C),Water temperature_ctd (_deg_C),Water temperature_AAQ (_deg_C),Salinity_meter (psu),Salinity_ctd (psu),Salinity_AAQ (psu),Water_Cond. (mS/cm),Density (kg/m3),DO_Titrate (mg/L),DO_meter (mg/L),DO_CTD (mg/L),DO_AAQ (mg/L),DO_CTD-Corrected (mg/L),TSS (mg/L),Chl-a_spectro (ug/L),Chl-a_ctd (ug/L),Chl-a_AAQ (ug/L),pH,pH_CTD,pH_AAQ,OA,Phytoplankton,Zooplankton,Remark,TA (umol/kgSW),pH@25C (Spectrophotometric method),"pH 
(TOTscale)",pCO2 out (uatm),HCO3 out (umol/kgSW),CO3 out (umol/kgSW),CO2 out (umol/kgSW),"Ca
saturation","Ar
saturation","DIC est.
(umol/kgSW)",Ave,SD,Ave,SD,Saturation (nmol/KgSW),Saturation anomaly (%),Ave,SD,Saturation (nmol/KgSW),Saturation anomaly (%),pN2Oair,Phosphate (uM),Silicate (uM),Nitrite (uM),Ammonia (uM),Nitrate (uM),DOC,"TDN
(uM)","TDP
(uM)","Mn
(nM)","Mo
(nM)","U
(nM)","V
(nM)","Exchangeable Ammonia
(ug/g)","Exchangeable Nitrate
(ug/g)","Exchangeable Silicate
(ug/g)","Exchangeable Phosphate
(ug/g)","Total Phosphorus
(ug/g)","Total Silicate
(ug/g)","Total Nitrogen
(ug/g)","Calcium carbonate
(ug/g)",Total Organic Content (%),Clay,Silt,Sand,Sulfide (umol-S/g),Fraction-1_NH3,Fraction-1_NO2-,Fraction-1_N_Sum,Fraction-2_NH3,Fraction-2_NO2-,Fraction-2_N_Sum,Fraction-3_NH3,Fraction-3_NO2-,Fraction-3_N_Sum,Fraction-4_NH3,Fraction-4_NO2-,Fraction-4_N_Sum,Fraction-1_Phosphorus,Fraction-2_Phosphorus,Fraction-3_Phosphorus,Fraction-4_Phosphorus
GoT,2022,11,19,6:44,,12,13.0345,100.1330,,15.2,B,14,,,,,,,,,,,,,,,,4.6,28.50,28.73,,30.70,31.47,,,,4.4,,3.302,,4.28079598,12.65,,,,7.99,,,,,,,2118.643965,7.881359753,7.826725098,682.5755264,1781.840896,136.2914032,17.9576468,3.399704782,2.249515275,1936.089946,,,,,,,,,,,,0.194,32.645,1.784,3.212,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2022,11,18,14:32,,13,13.0361,100.2646,,24.3,S,1,,,,,,,,,,,,,,,,6.4,30.20,29.78,,27.70,28.50,,,,7.075,,6.742,,7.109506076,7.95,0.203269,,,8.14,,,,,,,2147.245575,8.085155789,8.013498906,429.6585472,1683.388892,190.4247305,11.19304766,4.895236804,3.217350214,1885.00667,,,,,,,,,,,,0.323,40.299,0.357,2.427,0.5,,,,,,,,1.74595372,1.405657761,16.37725349,1.77795502,12.54999919,1538.575697,1228.88682,1.885682539,0.99,1.7975,38.658,59.5495,,,,,,,,,,,,,,,,,
GoT,2022,11,18,14:32,,13,13.0361,100.2646,,24.3,M,12,,,,,,,,,,,,,,,,6.4,28.80,28.65,,30.60,31.77,,,,5.175,,4.461,,5.233841038,10.65,,,,8.02,,,,,,,2131.273854,7.977800305,7.923516575,527.0337291,1722.271293,165.318798,13.87223353,4.113509058,2.723325495,1901.462325,,,,,,,,,,,,0.194,22.926,0.5,3.141,1.356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2022,11,18,14:32,,13,13.0361,100.2646,,24.3,B,23,,,,,,,,,,,,,,,,6.4,28.90,28.65,,31.00,31.79,,,,5.5,,4.451,,5.225618044,12.5,,,,8.02,,,,,,,2101.288909,7.975049229,7.920400085,523.1209945,1699.013715,162.1204101,13.76734545,4.027402469,2.666796835,1874.901471,,,,,,,,,,,,0.194,23.033,0.357,2.998,1.784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2022,11,20,9:19,,14,13.1381,100.2670,,18.5,S,1,,,,,,,,,,,,,,,,4.1,29.00,29.36,,26.00,26.56,,,,7.545,,6.617,,7.006718645,5.7,0.17847575,,,8.36,,,,,,,2127.214843,8.227757493,8.161213786,287.3089344,1564.176003,232.4883455,7.632743086,6.065910607,3.949638294,1804.297091,,,,,,,,,,,,0.258,28.266,0.143,3.212,1.784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2022,11,20,9:19,,14,13.1381,100.2670,,18.5,M,9,,,,,,,,,,,,,,,,4.1,28.80,28.68,,30.50,31.72,,,,5.24,,3.992,,4.848182598,6,,,,8.07,,,,,,,2106.598361,7.959379938,7.904884753,548.3890041,1715.635607,157.7329323,14.42662649,3.928309192,2.600550576,1887.795166,,,,,,,,,,,,0.161,24.457,0.143,2.855,1.428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2022,11,20,9:19,,14,13.1381,100.2670,,18.5,B,17,,,,,,,,,,,,,,,,4.1,28.60,28.68,,30.90,31.75,,,,4.65,,3.784,,4.677144313,20.5,,,,8.03,,,,,,,2112.716574,7.932559888,7.878079419,591.037176,1739.839524,150.5427025,15.54765269,3.744374967,2.479162656,1905.929879,,,,,,,,,,,,0.161,26.7,0.714,2.784,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2022,11,20,9:58,,15,13.1898,100.2670,,17.4,S,1,,,,,,,,,,,,,,,,4,29.30,,,25.90,,,,,,,,,,,,,,8.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2022,11,20,9:58,,15,13.1898,100.2670,,17.4,M,8.5,,,,,,,,,,,,,,,,4,28.80,,,30.60,,,,,,,,,,,,,,8.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2022,11,20,9:58,,15,13.1898,100.2670,,17.4,B,16,,,,,,,,,,,,,,,,4,28.70,,,30.80,,,,,,,,,,,,,,8.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2022,11,20,10:20,,16,13.2312,100.2669,,15.6,S,1,,,,,,,,,,,,,,,,3.7,29.40,29.41,,25.80,26.27,,,,8.08,,7.055,,7.366885802,5.2,1.24139175,,,8.41,,,,,,,2151.201079,8.277548302,8.209850842,253.1734521,1537.770599,254.0345844,6.728069212,6.645859744,4.322200783,1798.533252,,,,,,,,,,,,0.161,32.004,0.143,2.498,1.784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2022,11,20,10:20,,16,13.2312,100.2669,,15.6,M,7.5,,,,,,,,,,,,,,,,3.7,28.90,28.70,,30.00,31.55,,,,5.36,,3.401,,4.362203625,11.15,,,,8.02,,,,,,,2121.167638,7.986382347,7.931334766,514.6831064,1709.393264,166.4383353,13.54390475,4.152411093,2.747717629,1889.375504,,,,,,,,,,,,0.323,27.163,0.642,1.856,1.713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
